codigo usuario;codigo medidor;fecha consulta;fecha lectura;lectura final;anomalia
1015718;43601;05/12/2018;05/12/2018;15778.77;
1015720;37121;05/12/2018;05/12/2018;16445.85;
1015756;541625129554172;05/12/2018;05/12/2018;19370.30;
1015774;47783;05/12/2018;05/12/2018;6226.31;
1015778;32369;05/12/2018;05/12/2018;4761.14;
1015797;49778;05/12/2018;05/12/2018;22586.38;
1015871;45080;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1015874;41903;05/12/2018;05/12/2018;9311.67;
1015875;42920;05/12/2018;05/12/2018;6122.97;
1015878;31988;05/12/2018;05/12/2018;924.93;
1015879;38096;05/12/2018;05/12/2018;8553.85;
1015881;38099;05/12/2018;05/12/2018;205.92;
1015883;52562;05/12/2018;05/12/2018;3014.58;
1015886;32243;05/12/2018;05/12/2018;7238.00;
1015887;54184;05/12/2018;05/12/2018;3845.46;
1015888;36569;05/12/2018;05/12/2018;2158.41;
1015892;32195;05/12/2018;05/12/2018;6163.31;
1015895;32927;05/12/2018;05/12/2018;1356.62;
1015897;4055051580;05/12/2018;05/12/2018;8510.41;
1015900;38456;05/12/2018;05/12/2018;5844.57;
1015901;30947;05/12/2018;05/12/2018;7025.73;
1015904;40481;05/12/2018;05/12/2018;7268.18;
1015909;33728;05/12/2018;05/12/2018;5251.38;
1015914;43457;05/12/2018;05/12/2018;6346.74;
1015926;39344;05/12/2018;05/12/2018;10953.24;
1015927;43421;05/12/2018;05/12/2018;4210.35;
1015928;39431;05/12/2018;05/12/2018;9798.04;
1015935;29429;05/12/2018;05/12/2018;12478.77;
1015944;43862;05/12/2018;05/12/2018;4092.96;
1015955;4015735360;05/12/2018;;;Medidor Sin Conexion
1015957;43850;05/12/2018;05/12/2018;806.97;
1015958;29474;05/12/2018;05/12/2018;6813.95;
1015959;29402;05/12/2018;05/12/2018;12667.12;
1016105;32741;05/12/2018;05/12/2018;10312.02;
1016111;53521;05/12/2018;05/12/2018;9482.47;
1016113;52447;05/12/2018;05/12/2018;8851.27;
1016115;52233;05/12/2018;05/12/2018;7556.58;
1016117;39749;05/12/2018;05/12/2018;1275.98;
1016121;51997;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1016124;40286;05/12/2018;05/12/2018;794.53;
1016453;51164;05/12/2018;05/12/2018;3171.91;
1016457;47897;05/12/2018;05/12/2018;12203.40;
1016460;53286;05/12/2018;05/12/2018;14349.74;
1016463;39278;05/12/2018;05/12/2018;8102.00;
1016464;50851;05/12/2018;05/12/2018;18795.65;
1016466;50832;05/12/2018;05/12/2018;4899.16;
1016468;50827;05/12/2018;05/12/2018;2332.32;
1016491;50856;05/12/2018;05/12/2018;7634.48;
1016496;52034;05/12/2018;05/12/2018;7347.74;
1016497;54290;05/12/2018;05/12/2018;8125.71;
1016499;53979;05/12/2018;05/12/2018;4242.50;
1016500;54045;05/12/2018;05/12/2018;3638.11;
1016506;51538;05/12/2018;05/12/2018;5296.68;
1016509;54005;05/12/2018;05/12/2018;5040.71;
1016513;42395;05/12/2018;05/12/2018;9324.90;
1016523;41786;05/12/2018;05/12/2018;6042.65;
1016525;50678;05/12/2018;05/12/2018;9169.08;
1016528;52310;05/12/2018;05/12/2018;4081.55;
1016529;50666;05/12/2018;05/12/2018;3214.54;
1016534;54413;05/12/2018;05/12/2018;8441.46;
1016542;50472;05/12/2018;05/12/2018;3247.91;
1016544;53358;05/12/2018;05/12/2018;5015.03;
1016546;50470;05/12/2018;05/12/2018;2590.13;
1017917;50940;05/12/2018;05/12/2018;5717.64;
1017927;51307;05/12/2018;05/12/2018;3069.85;
1017936;53510;05/12/2018;05/12/2018;4747.29;
1017937;5257552564;05/12/2018;05/12/2018;86948.86;
1017939;53388;05/12/2018;05/12/2018;954.33;
1017951;5529545668;05/12/2018;05/12/2018;2681.09;
1017952;46952;05/12/2018;05/12/2018;12400.77;
1017964;54016;05/12/2018;05/12/2018;12444.54;
1017966;43994;05/12/2018;05/12/2018;7420.74;
1017970;53421;05/12/2018;05/12/2018;2263.15;
1017974;54000;05/12/2018;05/12/2018;3842.42;
1017982;35807;05/12/2018;05/12/2018;11614.20;
1017984;53747;05/12/2018;05/12/2018;6287.70;
1017985;55469;05/12/2018;;;Medidor Sin Conexion
1017988;53506;05/12/2018;05/12/2018;6659.79;
1018017;45812;05/12/2018;05/12/2018;12430.81;
1018162;5209952120;05/12/2018;05/12/2018;1759.84;
1018852;32750;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1018869;36344;05/12/2018;05/12/2018;13181.37;
1018870;47900;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1018873;35930;05/12/2018;05/12/2018;5638.10;
1018875;35681;05/12/2018;05/12/2018;9555.02;
1018876;35756;05/12/2018;05/12/2018;2649.75;
1018880;36818;05/12/2018;05/12/2018;3142.44;
1018897;47993;05/12/2018;05/12/2018;7172.60;
1018899;42287;05/12/2018;05/12/2018;8219.96;
1018908;47972;05/12/2018;05/12/2018;7695.90;
1018917;54667;05/12/2018;05/12/2018;5314.66;
1018925;54597;05/12/2018;05/12/2018;3700.83;
1018929;46763;05/12/2018;05/12/2018;7160.17;
1018931;54553;05/12/2018;05/12/2018;1976.94;
1018940;39578;05/12/2018;05/12/2018;0.00;Medidor Desconectado
1018945;39914;05/12/2018;05/12/2018;12014.09;
1018947;4887250626;05/12/2018;05/12/2018;8390.50;
