codigo de transformador;capacidadtransformador;georeferencia;tipotransformador;direccion;codigo nodo;codigo usuario;tipousuario;codigo concentrador;codigo de caja;codigo de colector ;codigo de medidor;display;estado
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;1156587;MONOFASICO;8576;6012;12881;51384;24482;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;1169189;MONOFASICO;8576;6012;12881;52100;22370;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;380236;MONOFASICO;8576;6012;12881;51399;36287;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;380240;MONOFASICO;8576;6012;12881;51367;36296;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;380242;MONOFASICO;8576;6012;12881;51383;34460;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;380246;MONOFASICO;8576;6012;12881;51706;36298;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;380250;MONOFASICO;8576;6012;12881;51708;36300;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;4;428589;MONOFASICO;8576;6012;12881;51737;29189;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;5;1156832;MONOFASICO;8576;6202;12855;51736;36283;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;5;391184;MONOFASICO;8576;6202;12855;44321;36299;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;5;391190;MONOFASICO;8576;6202;12855;51369;36293;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;5;590569;MONOFASICO;8576;6202;12855;51727;33099;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;380308;MONOFASICO;8576;5706;12583;51705;36281;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;380310;MONOFASICO;8576;5706;12583;51855;36295;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;391186;MONOFASICO;8576;5706;12583;51726;36282;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;391188;MONOFASICO;8576;5706;12583;51392;36284;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;428099;MONOFASICO;8576;5706;12583;51862;36289;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;428101;MONOFASICO;8576;5706;12583;51400;36290;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;6;428103;MONOFASICO;8576;5706;12583;51408;36288;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;7;1156873;MONOFASICO;8576;6332;12674;51730;36707;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;7;381838;MONOFASICO;8576;6332;12674;51394;36954;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;1069160;MONOFASICO;8576;6071;12575;51741;36719;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;1191675;MONOFASICO;8576;6071;12575;54879;37022;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;1191679;MONOFASICO;8576;6071;12575;54878;37023;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;391172;MONOFASICO;8576;6071;12575;51707;32711;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;426917;MONOFASICO;8576;6071;12575;51719;29774;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;428105;MONOFASICO;8576;6071;12575;51723;20729;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;8;903362;MONOFASICO;8576;6071;12575;51744;35497;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;1086052;BIFASICO;8576;6383;14083;5170951739;36720;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;1091809;MONOFASICO;8576;6383;14083;51731;36704;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;1144271;MONOFASICO;8576;6383;14083;51368;35484;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;381422;MONOFASICO;8576;6383;14083;51869;36703;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;381430;MONOFASICO;8576;6383;14083;51836;36717;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;381432;MONOFASICO;8576;6383;14083;51857;36708;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;381834;MONOFASICO;8576;6383;14083;51740;36713;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;381836;MONOFASICO;8576;6383;14083;51865;36706;Activo
60TA010002;75.00;"(1.805833,-78.775528)";TRIFASICO;AV FERREA_TRV-25;9;426805;MONOFASICO;8576;6383;14083;51713;36711;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1006759;MONOFASICO;8562;6089;12883;54489;35004;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1025825;MONOFASICO;8562;6359;12886;54486;32565;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1107056;MONOFASICO;8562;6089;12883;54885;34483;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1139636;MONOFASICO;8562;6359;12886;54500;35017;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1216153;MONOFASICO;8562;6359;12886;30281;32720;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;1225524;MONOFASICO;8562;6089;12883;47429;88888;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;381394;MONOFASICO;8562;6359;12886;54492;36424;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;381398;MONOFASICO;8562;6359;12886;55127;32751;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;381868;MONOFASICO;8562;6359;12886;54480;35013;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;381870;MONOFASICO;8562;6359;12886;51385;32567;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;381874;MONOFASICO;8562;6359;12886;54503;35012;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;426799;MONOFASICO;8562;6359;12886;54481;37025;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;627918;MONOFASICO;8562;6359;12886;54499;35007;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;0;78465matricula;MONOFASICO;8562;6089;12883;55850;37369;Activo
60TA010003;75.00;"(1.806472,-78.774778)";TRIFASICO;AV FERREA_TRV-24;1;1177830;MONOFASICO;8562;5960;12879;51398;32930;Activo
